Maßnahmentitel;Maßnahmeart;inhaltl. Schlagrichtung;Schlagwörter;Produkt, Abrechnungsart;Kostenträger;Dauer;Praxisdauer;Abschluss (Zertifikate);Status;Dokumente;Organisation;Ansprechpartner I;Ansprechpartner II
Fachpraktiker/-in für Metalltechnik;Umschulung;Bei der Herstellung von Metallwerkstücken gefragt - Fertigung-Ausbildung, Spezialisierung auf Zerspanungstechnik, Erstellen und Lesen von Technischen Dokumenten (Zeichnungen, Stücklisten);"Fertigung, Produktion, Maschinen- und Anlagenführerin, Fachkraft für Metalltechnik Fachrichtung Montagetechnik,  Industriemechaniker Einsatzgebiet Feingerätebau, Industriemechanikerin,
";Reha (§66);"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";18 Monate;mehrmonatig;"
IHK-Zeugnis";aktiv;;BFW Köln;L. Müller;
"Industriemechaniker/-in
Feingerätebau";Umschulung;Allrounder in der Metallverarbeitung - Fertigung-Ausbildung, Pneumatik, Hydraulik, CNC-Programmierung und Maschinenbedienung, Qualitätssicherung, Erstellen und Lesen von Technischen Dokumenten (Zeichnungen, Stücklisten);"Fertigung, Produktion, Maschinen- und Anlagenführer, Maschinen- und Anlagenführerin, Fachkraft für Metalltechnik Fachrichtung Zerspanungstechnik, Industriemechaniker Einsatzgebiet Feingerätebau, Industriemechanikerin, CNC-Anwender Drehen und Fräsen (NCG), CNC-Anwenderin, CNC-Anwender für Fachkräfte (NCG), Industriefachkraft für CNC-Fertigung, Industriefachkraft für CNC- und CAM-Fertigung, Industriefachkraft für CAM-Fertigung, CNC
";Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;"
IHK-Zeugnis";aktiv;;BFW Köln;L. Müller;
Technische Objektmanager/-in;Umschulung;Die Allrounder für Gebäudetechnik - Haustechnik-Qualifizierung Elektrofachkraft, Fachkundenachweis HKL, Holzbearbeitung, Mietrecht, Fliesenarbeiten;Elektrik, Elektronik, Elektrofachkraft, Haustechnik,  Industrieelektriker, Industrieelektrikerin, Industrieelektriker Fachrichtung Geräte und Systeme, Technischer Hauswart, Technische Hauswartin, Hausmeister, Facilitymanager, Elektrofachkraft, Haus- und Gebäudetechnik, Gebäudebewirtschaftung;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";12 Monate;mehrmonatig;Hausinternes Zeritifikat;aktiv;;BFW Köln;L. Müller;
Technische/-r Produktdesigner/-in;Umschulung;Produkte mit neuster Technik entwickeln und gestalten - Konstruktionsausbildung, CAD-Zeichnungen, 3D-Zeichnungen, 2D Ableitungen, 3D-Druck, Präsentationstechniken, Qualitätswesen, Projektplanung, Erstellen und Lesen von Technischen Dokumenten (Zeichnungen, Stücklisten);"Konstruktion, CAD, Technischer Produktdesigner, Industriefachkraft für CAD-Konstruktion, Industriefachkraft für CAD-Konstruktion mit Metallgrundlagen, Industriefachkraft für CAD-Konstruktion und CAM-Fertigung, Industriefachkraft für CAD-Konstruktion und Qualitätssicherung, Technischer Zeichner, CAD, Siemens NX, Maschinenbau, 3D-Druck, 3D-Konstruktion
";Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;IHK-Zeugnis;aktiv;;BFW Köln;L. Müller;
Zahntechniker/-in;Umschulung;Erstellen von verschiedenem Zahnersatz in konventioneller Technik, Erstellen von verschiedenem Zahnersatz in digitaler Technik (CAD-CAM), Grundlagen Ergonomie, ;Erstellen von verschiedenem Zahnersatz in konventioneller und digitaler Technik (CAD-CAM);Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;IHK-Zeugnis;aktiv;;BFW Köln;L. Müller;
Elektroniker/-in für Geräte und Systeme;Umschulung;Multitalente im Umgang mit Hightech  - Elektronikausbildung überwiegende Arbeit in der Wartung und Reparatur von Geärten und Systemen. Einsatz von Mess- und Prüfgeräten sowie PC-gestützte Software.;"Elektrik, Elektronik, Industrieelektik, Betriebstechnik, Elektrofachkraft, Umschulung, Weiterbildung, Qualifizierung, Industrieelektriker, Industrieelektrikerin, Industrieelektriker Fachrichtung Geräte und Systeme, Elektroniker, Elektronikerin, Produktionshelferin, Produktionshelfer für Bestückung und Elektromontage, Fachkraft für Elektronikfertigung, Stufenqualifizierung, SPS
";Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;IHK-Zeugnis;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
"Elektronikgerätemechaniker/-in
Automatisierungstechnik";Umschulung;Multitalente im Umgang mit Automatisierungstechnik, Tätigkeit wo mechatronische Systeme in Montage, Fertigung und Bereichen der Prozessautomatisierung eingesetzt werden;Elektrik, Elektronik, Steuerungstechnik, Montage, Güterherstellung, Maschinen- und Anlagenbau, Elektroanlagenbau, Automobilindustrie;Reha;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;IHK-Zeugnis;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Fachinformatiker/-in für Anwendungsentwicklung;Umschulung;Anpassen und Weiterentwicklung einer bestehenden Software  - IT-Ausbildung;"IT, Informationstechnik, Umschulung, Weiterbildung, Qualifizierung, JobFit-Angebote, Fachinformatiker/-in Anwendungsentwicklung, Fachinformatiker/-in Systemintegration, IT-System-Kaufmann/-frau, IT-System-Elektroniker/-in, Informatikkaufmann/-frau, PC-Supporter/-in, PC- und Netzwerkfachkraft, Bildungsangebot, Qualifizierungsangebot, Hardware, Netzwerk, Telekommunikation
";Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;IHK-Zeugnis;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Fachinformatiker/-in für Systemintegration;Umschulung;Planung und Konfiguration von IT-Systemen  - IT-Ausbildung;"IT, Informationstechnik, Umschulung, Weiterbildung, Qualifizierung, JobFit-Angebote, Fachinformatiker/-in Anwendungsentwicklung, Fachinformatiker/-in Systemintegration, IT-System-Kaufmann/-frau, IT-System-Elektroniker/-in, Informatikkaufmann/-frau, PC-Supporter/-in, PC- und Netzwerkfachkraft, Bildungsangebot, Qualifizierungsangebot, Hardware, Netzwerk, Telekommunikation
";Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;IHK-Zeugnis;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Mechatroniker/-in;Umschulung;Multitalent im Umgang mit mechanischen Teilen - Mechatronikausbildung;Mechatronik, Mechatroniker, Mechanik, Elektrotechnik, Elektronik, Steuerungstechnik, Montage, Fertigung, Prozessautomatisierung, Instandhaltung, Wartung;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;mehrmonatig;IHK-Zeugnis;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Kölner Lehrfabrik - CNC-Technik;Teilqualifizierung;innovatives Ausbildungszentrum, Qualifizierung auf Industrie 4.0-Niveau, modularisierte Qualifizierungsangebote (Aufbau- und/oder Teilqualifzierungen) aus Elektro, Technik und Gewerbe;Industrie 4.0, modularisiertes Qualifizierungsangebot, Elektro, Technik, Gewerbe;Reha, FbW, Selbstzahler, Firmen;"Firmen
Selbstzahler";"modularisiert
4 Wochen";"modularisiert
4 Wochen";Hauszertifikat;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
CNC-Technik;Teilqualifizierung;innovatives Ausbildungszentrum, Qualifizierung auf Industrie 4.0-Niveau, modularisierte Qualifizierungsangebote (Aufbau- und/oder Teilqualifzierungen) aus Elektro, Technik und Gewerbe;Industrie 4.0, modularisiertes Qualifizierungsangebot, Elektro, Technik, Gewerbe;Reha, FbW, Selbstzahler, Firmen;"Firmen
Selbstzahler";4 Wochen;4 Wochen;Hauszertifikat;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Kölner Lehrfabrik - Feinmechanische Handfertigkeiten;Teilqualifizierung;innovatives Ausbildungszentrum, Qualifizierung auf Industrie 4.0-Niveau, modularisierte Qualifizierungsangebote (Aufbau- und/oder Teilqualifzierungen) aus Elektro, Technik und Gewerbe;Industrie 4.0, modularisiertes Qualifizierungsangebot, Elektro, Technik, Gewerbe;Reha, FbW, Selbstzahler, Firmen;"Firmen
Selbstzahler";4 Wochen;4 Wochen;Hauszertifikat;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Kölner Lehrfabrik - Elektronik;Teilqualifizierung;innovatives Ausbildungszentrum, Qualifizierung auf Industrie 4.0-Niveau, modularisierte Qualifizierungsangebote (Aufbau- und/oder Teilqualifzierungen) aus Elektro, Technik und Gewerbe;Industrie 4.0, modularisiertes Qualifizierungsangebot, Elektro, Technik, Gewerbe;Reha, FbW, Selbstzahler, Firmen;"Firmen
Selbstzahler";2 Wochen;2 Wochen;Hauszertifikat;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Kölner Lehrfabrik - Technisches Zeichnen;Teilqualifizierung;innovatives Ausbildungszentrum, Qualifizierung auf Industrie 4.0-Niveau, modularisierte Qualifizierungsangebote (Aufbau- und/oder Teilqualifzierungen) aus Elektro, Technik und Gewerbe;Industrie 4.0, modularisiertes Qualifizierungsangebot, Elektro, Technik, Gewerbe;Reha, FbW, Selbstzahler, Firmen;"Firmen
Selbstzahler";4 Tage;4 Tage;Hauszertifikat;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Kölner Lehrfabrik - Elektrische Maschinen;Teilqualifizierung;innovatives Ausbildungszentrum, Qualifizierung auf Industrie 4.0-Niveau, modularisierte Qualifizierungsangebote (Aufbau- und/oder Teilqualifzierungen) aus Elektro, Technik und Gewerbe;Industrie 4.0, modularisiertes Qualifizierungsangebot, Elektro, Gewerbe, Technik;Reha, FbW, Selbstzahler, Firmen;"Firmen
Selbstzahler";2 Wochen;2 Wochen;Hauszertifikat;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Kölner Lehrfabrik - SPS S7 GRAFCET;Teilqualifizierung;innovatives Ausbildungszentrum, Qualifizierung auf Industrie 4.0-Niveau, modularisierte Qualifizierungsangebote (Aufbau- und/oder Teilqualifzierungen) aus Elektro, Technik und Gewerbe;Industrie 4.0, modularisiertes Qualifizierungsangebot, Elektro, Gewerbe, Technik;Reha, FbW, Selbstzahler, Firmen;"Firmen
Selbstzahler";9 Tage;9 Tage;Hauszertifikat;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
Kölner Lehrfabrik - konventionelle Steuerungstechnik II;Teilqualifizierung;innovatives Ausbildungszentrum, Qualifizierung auf Industrie 4.0-Niveau, modularisierte Qualifizierungsangebote (Aufbau- und/oder Teilqualifzierungen) aus Elektro, Technik und Gewerbe;Industrie 4.0, modularisiertes Qualifizierungsangebot, Elektro, Gewerbe, Technik;Reha, FbW, Selbstzahler, Firmen;"Firmen
Selbstzahler";2,5 Wochen;2,5 Wochen;Hauszertifikat;aktiv;auf Anforderung;BFW Köln;M. Schiffer;
"Arbeitsbelastungserprobung
(ABE I)
";Assessment;Abklärung des Leistungsvermögens und Erarbeitung einer beruflichen Pespektive;Abklärung, berufliche Perspektive, Leistungsvermögen;"Reha
";DRV Rheinland;5 Wochen;;Gutachten;aktiv;;BFW Köln;;Brigitte Kollath
"Arbeitsbelastungserprobung
(ABE I)
";Assessment;Abklärung des Leistungsvermögens und Erarbeitung einer beruflichen Pespektive;Abklärung, berufliche Perspektive, Leistungsvermögen;"Reha
";"DRV Rheinland
";10 Wochen;;Gutachten;aktiv;;BFW Köln;;Brigitte Kollath
Reha-Assessment;Assessment;Unterstützung der beruflichen Perspektiventwicklung für Beschäftigte der Deutschen Bahn AG;individuelles Angebot;Firmenkunde;Deutsche Bahn AG + Ford, DB JobService GmbH;1 bis 6 Wochen (je nach Leistungs-paket);;Gutachten;aktiv;;BFW Köln;;"Tatjana De Toya,
Brigitte Kollath"
Reha-Assessment (EAP);Assessment;"Abklärung der beruflichen Eignung und Arbeitserprobung (Standard)
";Orientierung, Arbeitserprobung, Assessment,  Berufsperspektive, Findungsprozess, Berufsbilder, medizinische Abklärung, Eignungsabklärung, Berufsfindung, Neuorientierung, neue Berufsfelder Leistungsvermögen, berufspraktische Erprobungen, medizinische Abklärung, Stärken, langfristige Jobperspektive, psychologische Eignungsuntersuchung, sozialmedizinische Stellungnahme, fachpraktische Testung;"Reha
";Alle Rehaträger;2 Wochen;;Gutachten;aktiv;;BFW Köln;;"Tatjana De Toya,
Brigitte Kollath"
Reha-Assessment (EAPS);Assessment;"Erweiterte Abklärung der beruflichen Eignung und Arbeitserprobung speziell für Menschen mit psychischen Vorerkrankungen
";Abklärung, berufliche Perspektive, Leistungsvermögen;"Reha
";Alle Rehaträger;6 Wochen;;Gutachten;aktiv;;BFW Köln;;"Tatjana De Toya,
Brigitte Kollath"
Automobilkaufmann/-frau;Umschulung;Unterstützung des Verkaufs von Fahrzeugen, Verkauf von Fahrzeugen und Teilen,  Marketing, Abwicklung des Werkstattgeschäftes, Tätigkeiten im back-office-Bereich;Kaufmann, Kauffrau, Beratung, Verkauf, Büromanagement, Büroorganisation, Kundengespräch, Fahrzeuge, Werkstattgeschäft, Serviceorientierung, Kundenorientierung;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;9 Monate;IHK-Zeugnis;voraussichtlich inaktiv ab 2024;;;;
"Fachkraft für Lagerlogistik
(Fachlagerist)";Umschulung;Organisation und Durchführung eines reibungslosen Warenflusses z.B.: Güterannahme, Einlagerung der Güter, Kommissionierung und Verpackung, Auslieferungsplanung;Fachkraft, Lager, Lagerlogistik, Materialwirtschaft, kaufmännische Sachbearbeiterin, Lagerverwalter, Lagerverwalterin,   kaufmännischer Sachbearbeiter, Lagerhaltung;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";18 - 24 Monate;6 Monate;IHK-Zeugnis;aktiv;;;;
Fachkraft f. Lagerlogistik - Externenprüfung Vorbereitung;Umschulung;Prüfungsvorbereitung auf die Externenprüfung als Fachkraft f. Lagerlogistik;FbW Kaufmännischer Bereich, Einschlägige Berufserfahrung von mindesten 4,5 Jahren, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Prüfungsvorbereitung, Externenprüfung, Fachkraft, Lager, Logisitk ;Reha, FBW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";6 Moante;;Teilnehmerbescheinigung intern;aktiv;;;Dennis Chrubasik;Herr Räuschel
Fachpraktiker/-in für Büromanagement;Umschulung;In der Verwaltung, Empfang, Lager, Poststelle von unterschiedlichsten Unternehmen aller Wirtschaftsbereiche meist mit einfachen Aufgaben oder Routinetätigkeiten;Bürokommunikation, Fachpraktikerin, Fachpraktiker, Kauffrau, Kaufmann, Kauffrau, Büromanagement, Materialwirtschaft, kaufmännische Sachbearbeiterin, Lagerverwalter, Lagerverwalterin, Verkaufsfachberater, Verkaufsfachberaterin, kaufmännischer Sachbearbeiter Absatzwirtschaft, Empfang, Rezeption, Assisstenz, Bürowirtschaft, Büroorganisation, Buchhaltung, Rechnungswesen;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;6 Monate;IHK-Zeugnis;aktiv;;;;
Industriekaufmann/-frau;Umschulung;"Industrieunternehmen aller Branchen und industrielle Dienstleister, Handwerk
Beschaffung von Gütern und Dienstleistungen, Abwicklung von Kundenaufträgen, Marketing, Personalwesen, Finanzbuchhaltung, Kosten- und Leistungsrechnung";Industriekaufmann, Industriekauffrau, Kaufmann, Kauffrau,Industrie, Materialwirtschaft, kaufmännische Sachbearbeiterin, kaufmännischer Sachbearbeiter, Absatzwirtschaft, Bürowirtschaft, Büroorganisation, Buchhaltung, Rechnungswesen, Kreditoren, Debitoren;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;6 Monate;IHK-Zeugnis;aktiv;;;;
Kaufmann/-frau für Büromanagement;Umschulung;"Verwaltungsabteilungen von Unternehmen aller Wirtschaftsbereiche oder im öffentlichen Dienst.
Vorwiegend mit Tätigkeiten am PC. Am Empfang geben sie Kunden Auskunft.";Kauffrau, Kaufmann, Büromanagement, Materialwirtschaft, kaufmännische Sachbearbeiterin, kaufmännischer Sachbearbeiter, Absatzwirtschaft, Empfang, Rezeption, Assistenz, Bürowirtschaft, Büroorganisation, Buchhaltung, Rechnungswesen, Kreditoren, Debitoren;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;6 Monate;IHK-Zeugnis;aktiv;;;;
Kaufmann/-frau für Büromanagement Teletutoring;Umschulung;"Verwaltungsabteilungen von Unternehmen aller Wirtschaftsbereiche oder im öffentlichen Dienst.
Vorwiegend mit Tätigkeiten am PC. Am Empfang geben sie Kunden Auskunft.";Kauffrau, Kaufmann, Büromanagement, Materialwirtschaft, kaufmännische Sachbearbeiterin, kaufmännischer Sachbearbeiter, Absatzwirtschaft, Empfang, Rezeption, Assistenz, Bürowirtschaft, Büroorganisation, Buchhaltung, Rechnungswesen, Kreditoren, Debitoren, Teletutorin, Teilzeit anwesend;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;6 Monate;IHK-Zeugnis;aktiv;;;;
Kaufmann/-frau im E-Commerce;Umschulung;Bewirtschaftung und Pflege von Online-Shops, Online Abwicklung von Anfragen, Aufträgen und Bestellungen, Durchführung von Online Marketing-Maßnahmen, Kundenkommunikation;Kauffrau, Kaufmann, E-Commerce, Online-Handel, Kundenorientierung, Serviceorientierung, Medienkompetenz, Digitalisierung;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;8 Monate;IHK-Zeugnis;aktiv;;;;
Fachkraft im E-Commerce;Umschulung;Praxisorientierte Kurzmaßnahme zur Integration im Bereich des Online-Handels mit Kunden- und Serviceorientierung sowie Affinität zu verschiedensten Kommunikationsmedien;Fachkraft, E-Commerce, Kurzmaßnahme, Online-Handel, Kundenorientierung, Serviceorientierung, Medienkompetenz, Digitalisierung;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";12 Monate;4 Monate;Hauszertifikat;aktiv;;;;
Kaufmann/-frau im Gesundheitswesen;Umschulung;Einsatzgebiete in Verwaltungen des Gesundheitswesen, erfordert Kunden- und Patientenorientierung, Interesse am pflegerischen Bereich, Zahlenaffinität;Kauffrau, Kaufmann, Büromanagement, Materialwirtschaft, kaufmännische Sachbearbeiterin, kaufmännischer Sachbearbeiter, Empfang, Rezeption, Assistenz, Bürowirtschaft, Büroorganisation, Buchhaltung, Rechnungswesen, Kreditoren, Debitoren, Gesundheitswesen, Patientenaufnahme, Abrechnung, Krankenkasse;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;6 Monate;IHK-Zeugnis;aktiv;;;;
Kaufmann/-frau im Gesundheitswesen Teletutoring;Umschulung;Einsatzgebiete in Verwaltungen des Gesundheitswesen, erfordert Kunden- und Patientenorientierung, Interesse am pflegerischen Bereich, Zahlenaffinität;Kauffrau, Kaufmann, Büromanagement, Materialwirtschaft, kaufmännische Sachbearbeiterin, kaufmännischer Sachbearbeiter, Empfang, Rezeption, Assistenz, Bürowirtschaft, Büroorganisation, Buchhaltung, Rechnungswesen, Kreditoren, Debitoren, Gesundheitswesen, Patientenaufnahme, Abrechnung, Krankenkasse, Teletutoring, teilweise anwesend;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;6 Monate;IHK-Zeugnis;aktiv;;;;
Kaufleute für  Groß- und Außenhandelsmanagement;Umschulung;" Managen alle relevanten Groß- und Außenhandelsprozesse im nationalen und internationalen Handel,  sind somit die Allrounder an der Schnittstelle zwischen Warenherstellung und Verbrauch, sind in nahezu allen Branchen vertreten, in der Fachrichtung Großhandel liegt der Schwerpunkt beim Handel mit Waren innerhalb Deutschland und der EU, in der Fachrichtung Außenhandel in der Abwicklung von Import- und Exportgeschäften weltweit
";Kaufleute für Groß- und Außenhandelsmanagement sind in der Beschaffung oder dem Vertrieb von Waren eingesetzt, sie ermitteln die Bedarfe ihrer Kunden, analysieren Märkte und  Bezugsquellen, kalkulieren Preise, werten betriebliche Kennzahlen aus, entwickeln waren- und kundenbezogene Dienstleistungen, legen Wert auf nachhaltige Lieferketten, der Einsatz digitaler Instrumente (E-Commerce, E-Procurement) gehört neben dem persöhnlichen und direkten Kontakt zu Kunden oder Lieferanten zum Berufsbild;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;6 Monate;"Kammerabschluss IHK
Zusatzqualifikation: Handelszertifikat EuCoCo";aktiv;;;;
Kaufmann/-frau für Spedition und Logistikdienstleistung;Umschulung;Abwickeln der Transporte von Gütern und sonstigen logistischen Dienstleistungen;Kaufmann, Kauffrau für Spedition und Logistikdienstleistungen sind eingesetzt im Customers Service (Kundenbetreuung, Reklamationsabwicklung), in der Disposition (Einteilung der Fahrzeuge und Fahrer, Frachtführer, Terminüberwachung), in der Abfertigung innerdeutscher Transporte ( Erstellung der Begleitpapiere, kaufmännische Steuerung der Verladung), im Export, Import, Zollabwicklung, Versicherung, Controlling ;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;6 Monate;IHK-Zeugnis;aktiv;;;;
Kaufmann, -frau für Spedition und Logistikdienstleistung, Externenprüfung Vorbereitung;Umschulung;Prüfungsvorbereitung auf die Externenprüfung für Kaufmann,-frau für Spedition und Logistikdienstleistung;FbW Kaufmännischer Bereich, Einschlägige Berufserfahrung, Nachholen Berufsabschluss, Kammerprüfung verschiedene Berufsrichtungen, Prüfungsvorbereitung, Externenprüfung, Kaufmann, Kauffrau, Spedition, Logistikdienstleistung;FbW;Agentur für Arbeit, Jobcenter;6 Moante;;Teilnehmerbescheinigung intern;aktiv;;;Dennis Chrubasik;Herr Räuschel
Personaldienstleistungskaufmann/-frau;Umschulung;Personalvermittlung,- rekrutierung,                      -entwicklung, Disposition, Personalsachbearbeitung, Kundenaquise (Personalberatung);Personalvermittlung, Personalrekrutierung, Personalentwicklung, Disposition, Administration, Personalsachbearbeitung, Kundenaquise, Personalberatung, Zeitarbeit;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";24 Monate;9 Monate;IHK-Zeugnis;inaktiv ab 2024;;;;
PC-Fachkraft mit kaufmännischer Orientierung;Umschulung;In der Verwaltung, Empfang, Lager, Poststelle von unterschiedlichsten Unternehmen aller Wirtschaftsbereiche meist mit einfachen Aufgaben oder Routinetätigkeiten;EDV-Kompetenzen, PC, digitaler Arbeitsplatz, digitale Kompetenz;Reha, FbW;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";12 Monate;individuell;MOS-Zertifikate;aktiv;;;;
Verwaltungsfachangestellte/-r für kommunale Verwaltung;Umschulung;Verwaltungstätigkeit in Fachbereichen von Kreisen, Städten und Gemeinden sowie Verbänden und weiteren Einrichtungen des öffentlichen Rechts möglich. Erarbeiten von Verwaltungsentscheidungen anhand des geltenden Rechts. Bürgernaher Tätigkeitsbereich;"Verwaltungsfachangestellte, Verwaltungsfachangestellter, Büromanagement,  kaufmännischer Sachbearbeiter, kaufmännische Sachbearbeiterin, kaufmännischer Sachbearbeiter,
Öffentliches Recht, Verwaltung, öffentliche Verwaltung, Gemeindeverwaltung, Stadtverwaltung, Verwaltungsrecht, Gesetz, Rechtsgrundlage, kommunales Finanzmanagement, Kommunalrecht
";Reha;"Agentur für Arbeit/Jobcenter
Berufsgenossenschaften
Deutsche Rentenversicherung
";24 Monate;12 Monate, dual;Rheinisches Studieninstitut Kammerabschluss-Zeugnis;aktiv;;;;
Aktion 100;Ausbildung;unterstützte betriebliche Ausbildung für alle dualen Ausbildungsberufe: technische Berufe, handwerkliche Berufe, kaufmännische Berufe, IT-Berufe.  Sozialpädagogische und psychologische Begleitung, Förderunterricht, Koordination der Ausbildung;begleitete Berufsausbildung, unterstützte betriebliche Ausbildung, technische Berufe, handwerkliche Berufe, kaufmännische Berufe, IT-Berufe,   Sozialpädagogische Betreuung,  Förderung, Ausbildung für Behinderte;Reha;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";36-42 Monate;dual;Kammerabschluss (alle Kammern);aktiv;;;;Gerald Licht
IBRPlus - Individuelle betriebeliche Reha Plus;Umschulung;unterstützte betriebliche Umschulung für alle dualen Ausbildungsberufe: technische Berufe, handwerkliche Berufe, kaufmännische Berufe, IT-Berufe.  Sozialpädagogische, medizinsiche und psychologische Begleitung, Förderunterricht, Koordination der Umschulung;unterstützte betriebliche Umschulung, begleitete Umschulung,  Umschulung im Betrieb, technische Berufe, handwerkliche Berufe, kaufmännische Berufe, IT-Berufe,  Kooperationsbetrieb, Förderung, beruflicher Neustart;Reha;Berufsgenossenschaften, Deutsche Rentenversicherung;18-27 Monate;dual;Kammerabschluss (alle Kammern);aktiv;;;;
go2job;Anpassungsqualifizierung;Teilqualifizierung für ältere Rehabilitanden mit den Elementen: Profiling, Anpassungsqualifizierung, betriebliche Qualifierung, Integrationsförderung,  gesundheitliche Stabilisierung;Teilqualifizierung, Anpassungsqualifizierung, Integrationsförderung, Wiederauffrischung, beruflicher Neustart, Wiedereinstieg, ältere Rehabilitanden;Reha;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";12 Monate;individuell;Hauszertifikat;aktiv;;;;Martin Thelemann
Reha-Vorbereitung (RV);Vorbereitung;Standardmäßiger Vorbereitungslehrgang auf die Reha-Umschulung käufmännischer und technischer Berufsbilder;Reha-Vorbereitung, Vorbereitungskurs, Förderung, Wiederauffrischen, Lernkompetenz, Lernen lernen, Lerntechniken, Deutsch, Mathematik, intensiv, beruflicher Neustart, Neubeginn, Sozialkompetenzen, Präsentationen;Reha;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";3 Monate;;Hauszertifikat;aktiv;;;;Antonia Kreile
Reha-Vorbereitung Deutsch;Vorbereitung;Vorbereitungslehrgang auf die Reha-Umschulung mit dem Schwerpunkt Deutsch, z.B. für Nicht-Muttersprachler;Reha-Vorbereitung, Vorbereitungskurs, Förderung, Wiederauffrischen, Lernkompetenz, Lernen lernen, Lerntechniken, Deutsch, intensiv, Schwerpunkt Deutsch beruflicher Neustart, Neubeginn, Sozialkompetenzen;Reha;"Agentur für Arbeit, Jobcenter, Berufsgenossenschaften, Deutsche Rentenversicherung
";3 Monate;;Hauszertifikat;aktiv;;;;Antonia Kreile
